State;Male Population;Female Population;Total Population;Male (%);Female (%)
Alabama;2453419;2600834;5054253;48.54;51.46
Alaska;385319;348652;733971;52.5;47.5
Arizona;3628694;3639481;7268175;49.93;50.07
Arkansas;1495958;1536693;3032651;49.33;50.67
California;19605882;19636903;39242785;49.96;50.04
Colorado;2942568;2868206;5810774;50.64;49.36
Connecticut;1765117;1833231;3598348;49.05;50.95
Delaware;487585;518287;1005872;48.47;51.53
District of Columbia;320001;352078;672079;47.61;52.39
Florida;10773620;11155261;21928881;49.13;50.87
Georgia;5281762;5540828;10822590;48.8;51.2
Hawaii;727473;718162;1445635;50.32;49.68
Idaho;952080;941216;1893296;50.29;49.71
Illinois;6270399;6422254;12692653;49.4;50.6
Indiana;3377011;3434741;6811752;49.58;50.42
Iowa;1601453;1594484;3195937;50.11;49.89
Kansas;1473655;1463914;2937569;50.17;49.83
Kentucky;2233870;2276855;4510725;49.52;50.48
Louisiana;2262822;2358203;4621025;48.97;51.03
Maine;678363;699037;1377400;49.25;50.75
Maryland;3002079;3168659;6170738;48.65;51.35
Massachusetts;3416765;3575630;6992395;48.86;51.14
Michigan;4982079;5069516;10051595;49.57;50.43
Minnesota;2862134;2851582;5713716;50.09;49.91
Mississippi;1431521;1519917;2951438;48.5;51.5
Missouri;3040690;3127491;6168181;49.3;50.7
Montana;560035;545037;1105072;50.68;49.32
Nebraska;987506;978420;1965926;50.23;49.77
Nevada;1582476;1558524;3141000;50.38;49.62
New Hampshire;692568;695266;1387834;49.9;50.1
New Jersey;4558671;4708343;9267014;49.19;50.81
New Mexico;1050368;1064400;2114768;49.67;50.33
New York;9702417;10169902;19872319;48.82;51.18
North Carolina;5177887;5406453;10584340;48.92;51.08
North Dakota;399126;380235;779361;51.21;48.79
Ohio;5809077;5970969;11780046;49.31;50.69
Oklahoma;1988686;2006574;3995260;49.78;50.22
Oregon;2113849;2124865;4238714;49.87;50.13
Pennsylvania;6400912;6585606;12986518;49.29;50.71
Puerto Rico;1540987;1713898;3254885;47.34;52.66
Rhode Island;537173;558198;1095371;49.04;50.96
South Carolina;2537456;2675318;5212774;48.68;51.32
South Dakota;455597;443597;899194;50.67;49.33
Tennessee;3428050;3558032;6986082;49.07;50.93
Texas;14789987;14850356;29640343;49.9;50.1
Utah;1686562;1644625;3331187;50.63;49.37
Vermont;320321;324933;645254;49.64;50.36
Virginia;4278490;4379009;8657499;49.42;50.58
Washington;3898212;3842772;7740984;50.36;49.64
West Virginia;890156;894306;1784462;49.88;50.12
Wisconsin;2950540;2941483;5892023;50.08;49.92
Wyoming;296646;283115;579761;51.17;48.83
